,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,sex_ratio,literacy_rate
287,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,1868560,52419,3492202,390974,34667,20469,668050,12181,917626,57964,135750,325084,666693,812381,790443,542228,493236,3703540,601547,14073,95.0,79.0
288,Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,1493953,29158,2501741,471951,3902,13540,354189,1273,488748,7548,43055,416869,691348,368723,416761,255650,156225,2327305,884626,6214,94.0,65.0
289,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,792065,14599,1521618,96182,8467,685,4969,2907,186202,2579,17047,166664,218718,121404,160961,113019,58461,848475,790613,2446,98.0,55.0
290,Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,4345366,2763328,56132,5237009,693052,23946,8912,94783,1795,904710,45039,138887,544346,1038955,851714,830070,485052,373100,4220456,1481778,13629,93.0,71.0
291,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,1137810,773916,19831,1437623,178925,942,340,28216,195,240042,3209,18183,183972,300965,201646,260772,139479,96847,1193594,440363,2786,92.0,69.0
292,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,1157814,822797,13210,1328385,306364,2081,1371,187899,262,272486,3982,21196,229217,396713,204316,229103,116041,81333,1266426,552643,3410,95.0,63.0
293,Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,7171723,4048993,105711,8090254,673704,134192,27090,340404,9873,1925019,235018,490260,559840,1234549,1383055,1414563,867256,1086650,6736249,1353077,27223,91.0,76.0
294,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,1199392,714076,17230,1307211,187197,1990,230,113467,95,367352,7752,31062,163025,378554,269872,247257,111600,65700,1251437,319622,3484,112.0,74.0
295,Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,2049467,1215104,40824,2440312,239607,9098,1260,38210,769,485126,13212,49056,208511,507318,459156,453404,244804,214003,2124179,579039,5798,97.0,73.0
296,Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,2225694,1354947,39772,2691952,146970,4408,1182,141315,676,562653,14093,57423,288427,495822,407977,556706,299993,243457,2313266,545423,5649,99.0,74.0
297,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,666067,347178,9679,780384,26264,15471,219,24762,53,194228,3517,15721,86480,165284,134734,175070,89023,48418,702460,121922,1749,104.0,78.0
298,Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,2910676,1898395,71106,3795424,441254,9882,1279,35497,568,595560,15145,59296,390337,788150,535848,643327,328020,236302,2951035,976795,8995,94.0,67.0
