,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,sex_ratio,literacy_rate
376,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,1071154,25068,2143046,371286,1576,23456,899,18,288723,4179,26106,363676,330336,314953,211938,147520,132571,1524305,1104824,3699,88.0,58.0
377,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,1256126,1148165,30149,2224839,142427,1978,1468,183,60,373644,6207,24014,398993,338296,258990,141250,92785,106667,1347909,1180456,3694,97.0,52.0
378,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,1278801,986208,26244,2073356,235741,1901,20072,285,79,220793,7607,29531,410155,333211,254335,143669,80296,101714,1341957,1015331,3411,91.0,54.0
379,Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,526091,11172,1017688,66609,682,11059,144,24,136969,1392,7705,153500,159218,121104,63248,41227,41052,585809,553622,1723,92.0,53.0
380,Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,802755,15435,1413163,97855,1274,1515,252,136,268172,4941,16560,245603,225700,170455,90889,58129,67155,868699,715545,3238,97.0,53.0
381,Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,1149269,902829,16594,1777879,249736,958,402,188,127,231696,2577,15259,336671,302022,237220,161520,100677,77282,1228712,910226,3361,94.0,56.0
382,Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,684495,17185,1582335,45488,439,296,94,115,195277,1719,14539,229035,235474,208537,135234,92559,90833,1005436,681980,2286,91.0,57.0
383,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,653647,552869,683098,523212,12721,1127520,72258,688,1356,92,21,96086,1330,9504,207566,172914,132964,77360,45590,37856,682444,552106,1641,85.0,57.0
384,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,696532,692020,681591,641515,12514,1340065,28662,830,240,226,853,141275,1477,11742,238847,175059,114245,60656,42887,39312,675840,764563,2030,99.0,49.0
385,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,1193343,912672,13790,1437144,50688,2077,474853,938,164,283142,6295,24901,237042,314107,238397,163098,105734,104071,1181845,710223,3332,89.0,61.0
386,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,1034136,835260,13839,1433067,118673,1542,216997,241,138,243163,3360,16217,239601,273441,219194,153628,104087,84185,1088552,723454,2709,91.0,58.0
387,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,4300965,2464893,91011,5819980,687452,12708,18782,1020,257,990085,76565,182350,819004,875940,823570,659389,455527,703673,4433665,2046038,12219,91.0,65.0
388,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,308653,288903,6835,497045,168129,874,1723,98,34,43141,754,7416,109484,71132,41264,20142,12759,10604,267105,397649,986,85.0,46.0
389,Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,829582,896644,21867,1732852,78990,730,231,144,82,161845,1585,12794,270997,277152,181691,75304,32366,25210,870570,1033534,2470,95.0,45.0
390,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,725143,685986,739792,685950,11199,1299751,96164,842,819,46,42,220428,1750,9403,226614,203488,143108,73388,46267,47985,747822,696680,1962,95.0,52.0
391,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,894649,13472,1905682,228178,1004,275,56,85,297559,4828,24178,296093,305626,301866,256621,192240,158936,1536668,712584,3300,95.0,64.0
392,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,1489741,42412,3224399,411558,6035,4123,514,80,408808,19335,54808,497762,512035,405132,259304,154789,177199,2036941,1591957,5708,92.0,55.0
393,Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,628726,9521,1370977,81553,602,297,70,413,132079,1059,13045,220644,193938,170399,104208,69443,67639,840673,668926,1987,86.0,55.0
394,Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,748811,25125,1661307,243993,5665,11058,280,286,339899,12843,36297,286676,294591,250092,172538,118710,167778,1317870,588142,3394,91.0,67.0
395,Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,1425882,29647,2833443,454487,1912,366,163,276,347344,4449,35328,513871,486057,388822,242053,147701,117444,1910801,1533137,4863,95.0,53.0
396,Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,842327,26119,1870543,143476,1345,1540,141,52,326793,4043,19270,293818,359329,271312,144581,71472,67021,1216936,983050,3317,99.0,53.0
397,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,550831,13505,1105676,33677,759,260,100,68,193276,1989,9222,190090,190388,140839,72969,41063,34286,674367,544517,1821,99.0,54.0
398,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,578068,12070,1165505,155681,945,812,177,42,140947,1887,14310,205450,172925,151108,87349,57625,70870,759711,586492,1900,90.0,56.0
399,Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,1006504,22776,2342076,327583,1122,356,177,15,339457,5647,28382,369959,438872,367412,282595,200430,181282,1859871,967497,4033,95.0,62.0
400,Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,419829,9443,996562,30479,1284,572,114,56,134089,2146,10297,117971,147381,110385,58213,30724,27076,497001,577092,1621,94.0,46.0
401,Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,649161,16004,1243527,153146,754,378,122,30,158264,1908,12482,237191,190750,154825,91853,64431,67155,816124,661902,2145,95.0,53.0
402,Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,1365783,33535,2869976,104307,7406,4278,209,373,357846,14211,48517,442946,386075,277392,164290,102085,142672,1535470,1528671,5101,96.0,52.0
403,Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,579692,19541,1410852,178807,15792,53027,2643,366,352758,80037,127465,86484,219061,260094,267825,235187,246988,1334283,169693,7151,88.0,79.0
404,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,359851,13564,708397,7942,37403,104,88,42,177502,1749,8371,60697,134123,113437,96860,53934,57524,532701,233438,1258,101.0,64.0
405,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,1817297,37345,3751322,439270,358662,2851,2804,1759,1096334,217368,355838,167207,516445,720331,801050,464207,905515,3642032,419065,15742,99.0,81.0
406,Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,1567950,50085,3044145,211035,190314,1112,435,237,896325,63273,149920,220388,466745,523563,526165,273098,440520,2504188,519919,13938,100.0,76.0
407,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,1169880,32027,2391675,123749,83334,401,236,138,598412,15396,50938,169844,412237,418769,386652,186394,227530,1868837,634041,5300,99.0,70.0
408,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,751170,15341,1452956,38304,14089,164,39,87,337972,3651,18927,129778,240222,221194,177877,103367,112592,1011099,512824,2364,95.0,61.0
409,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,1105155,30829,1879494,105012,169945,313,256,138,500057,9155,38677,207751,386421,372636,282628,153100,163050,1595029,480681,4682,100.0,69.0
410,Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,1195773,54322,2115455,76098,55899,435,148,157,595211,18604,58861,175017,345914,319484,269016,155344,215514,1510680,608003,7719,99.0,66.0
411,Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,1673814,54732,3537399,173785,256762,1620,990,756,961161,100322,200738,183054,535947,608188,634172,312208,526886,2867809,678374,8349,99.0,75.0
412,Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,679620,35789,909872,78590,876299,160,438,10,465692,15673,52943,134236,331559,314029,322511,226312,254107,1625788,210901,4377,102.0,83.0
413,Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,543298,11340,993666,53292,16483,115,29,79,264949,4915,17995,76629,190229,167466,146666,77874,85595,759410,276930,2151,102.0,68.0
414,Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,1354632,47293,2760502,168881,97711,520,199,305,754141,34097,95311,234611,525151,532616,453509,250285,363152,2398674,449125,6917,99.0,75.0
415,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,671994,11555,1435072,128617,47579,184,450,110,381940,5585,19692,136593,323359,313357,249630,122350,125639,1306690,253572,3026,103.0,75.0
416,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,898245,38797,1673652,32483,16909,183,108,199,441044,8960,31581,123573,297179,247516,214836,126468,169206,1200360,388418,3824,99.0,68.0
417,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,299726,5343,521658,32702,10301,83,39,26,135751,1507,7745,85210,106751,85101,71650,41447,44025,443373,109011,979,100.0,66.0
418,Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,761693,13941,1428784,114194,72850,119,81,293,354493,4494,18272,97231,283299,270046,251855,121706,111731,1167183,447346,2812,101.0,69.0
419,Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,978946,602977,25228,1047411,208038,91139,154,86,36,291400,5172,22379,246909,293886,236511,189132,105978,97405,1186606,107292,2340,98.0,72.0
420,Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,2285562,1694160,141503,3326357,95487,53841,412,174,246,835377,20660,63867,188672,571061,518763,457866,242306,296399,2335432,955045,8169,95.0,66.0
421,Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,959744,620171,14656,1186078,74310,75481,150,80,24,314270,5773,24456,101778,216931,236700,199263,103903,115894,998410,311112,2456,100.0,72.0
422,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,1182416,1223474,1790998,974079,31200,2075870,190814,133971,231,795,148,555582,13495,42912,138375,431983,419605,373111,178126,222410,1812871,461123,4914,103.0,74.0
423,Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,625683,620216,870080,591642,14939,1148990,56751,37574,152,79,74,312310,4667,18830,90590,219747,213496,156676,95231,101147,891561,270738,2642,99.0,70.0
424,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1876062,1852042,2791721,1538054,58240,3325823,143093,233633,1422,951,530,909400,75634,174279,181452,461918,600731,622789,303091,451321,2687680,610048,7731,99.0,75.0
425,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,626693,637584,946471,540168,10440,1132785,96092,33192,258,151,64,303114,4416,15535,138960,250163,243773,203450,103908,99082,1067502,175564,2272,102.0,75.0
426,Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,1235889,1228986,1626813,1238177,46720,2294369,91636,66987,232,157,110,549077,6445,27529,203879,442688,423135,343955,174560,158041,1782712,672427,4189,99.0,66.0
427,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,1961688,1974643,2773928,1689330,136415,3397857,414760,111390,676,438,251,865913,20623,69912,191963,721473,719731,641585,311434,308514,2965827,891430,8092,101.0,70.0
428,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,967709,974579,1398788,950158,35298,1822626,47838,67405,245,87,75,505950,10219,37357,163264,398670,317054,230321,138306,167506,1450277,403246,4300,101.0,72.0
429,Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,194544,183686,276217,155831,2870,307120,8256,22940,175,39120,206,46875,273,5067,64515,84516,74015,21430,9157,6425,260948,109130,455,94.0,73.0
430,Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,352860,341087,520402,248667,7088,507967,105737,44062,151,34717,70,81601,997,10310,129329,179547,158211,47160,22720,18419,559122,156840,848,97.0,75.0
431,Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,447544,428457,646810,366845,6375,736015,49258,39258,245,49420,808,133744,948,10393,129846,223185,204201,70173,31690,26870,691125,188363,1118,96.0,74.0
432,Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,879428,846311,1361354,698178,25163,1512801,152791,53622,499,2128,430,314567,6394,36186,248343,421485,451563,156277,88122,85405,1464673,279053,2817,96.0,79.0
433,Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,2364953,2053844,2680510,1389844,94184,3922718,411313,10076,12057,4049,384,536402,27183,82012,600839,904836,647340,450571,317618,199395,3141380,963202,5982,87.0,61.0
434,Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,1951996,1721893,2092567,1174361,78566,2904140,729283,7635,5875,2582,91,268120,13634,58336,456870,491605,443958,334738,216997,172585,2137251,1352181,4290,88.0,57.0
435,Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,3131807,2822584,3665727,2111907,185877,5102041,796756,13782,4377,4391,305,391542,24122,85491,823863,934881,738076,596615,502826,428871,4061896,1756098,7224,90.0,62.0
436,Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,1212410,1185478,1486939,787398,58520,1985654,401678,2536,869,1817,33,99581,2509,27308,342667,392873,353570,247028,172872,194387,1718855,813502,2797,98.0,62.0
437,Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,740040,639505,930836,442023,12533,1273546,101963,1004,371,332,444,65479,2404,14279,133123,291837,282449,168866,101542,79012,1063360,276224,1510,86.0,67.0
438,Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,2285004,2328909,2771917,1372032,115991,3878626,718692,3810,719,5652,226,183381,6652,47324,831966,1344726,879745,489060,312571,158303,4024458,1218146,5419,102.0,60.0
439,Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,700070,602978,797970,416695,20347,917474,364583,1840,483,161,25,119121,2989,19999,139646,272939,215070,132197,79475,44164,887221,376700,1514,86.0,61.0
440,Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,1843884,1643847,1398368,1152160,37965,2291892,1169330,6400,8212,2793,38,85814,2681,35463,447648,493760,215939,104762,65106,47690,1381933,1920966,3060,89.0,40.0
441,Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,1672902,1566872,1963590,1019483,72194,3004240,213440,4463,892,1595,64,119972,4672,42969,436021,515010,443440,409484,323582,200434,2348254,1032533,3634,94.0,61.0
442,Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1114721,1033944,868357,760253,29916,1333242,805975,3228,900,1866,87,57400,1551,15510,379253,227932,122911,65516,40633,37109,876131,1332817,2174,93.0,40.0
443,Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,965876,833534,1002937,701689,19098,1637549,157612,1367,231,168,50,73522,1655,18612,325773,415195,249238,114783,61702,63112,1235531,588025,1949,86.0,56.0
444,Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,1707073,1553626,1692458,1192850,77235,2505444,737106,4857,2090,1553,211,108116,3159,26293,533140,420824,350564,197780,132332,113799,1760720,1540841,3230,91.0,52.0
445,Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,2357665,2090694,2191759,1401971,131699,2830768,1536534,14822,28187,4371,339,272830,15164,56575,717585,641251,442110,272840,172554,146446,2409592,1744527,5126,89.0,49.0
446,Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,1255272,1209192,1393783,783688,36856,2082976,364510,3493,900,9753,99,108101,3423,30244,470355,349221,324085,211477,162961,143642,1674771,1021192,2775,96.0,57.0
447,Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,1921215,1761498,2135393,1088036,52549,2032081,1585210,6184,50624,1736,41,268353,7303,37341,498971,827447,549594,255028,159528,148185,2453411,1308683,4310,92.0,58.0
448,Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,1845260,1653911,2031656,1173260,65937,2707195,777407,4088,2765,669,86,223922,7865,38225,443641,540754,475146,338138,217882,151182,2184539,1185318,4534,90.0,58.0
449,Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,1017905,934851,1174606,652543,58552,1727869,215081,2153,1389,340,1175,99602,3492,20762,295979,367768,276638,196240,135962,88299,1368472,543247,2183,92.0,60.0
450,Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,527721,464009,531072,394197,12555,955372,34559,693,63,101,27,41046,827,9437,168472,174106,124256,69641,40266,35826,616227,383908,1019,88.0,54.0
451,Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,1537436,1563510,1875239,876246,50418,2730957,358539,3626,818,1182,146,150001,4469,36068,602403,473097,449571,372031,277548,194341,2392325,1130108,3643,102.0,60.0
452,Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,545984,28396,1611126,146346,2464,708,2887,18,69591,2635,19712,238019,214091,201984,178434,119665,88607,1048892,718310,3461,87.0,59.0
453,Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,506072,20803,1457892,113961,1362,1045,1733,94,113098,2964,21506,171216,292852,298700,195192,121283,118571,1211214,397708,1825,87.0,67.0
454,Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,831209,43505,2094271,365806,3225,1912,737,185,127754,4746,28625,356093,361114,347114,231129,176303,179996,1670696,981915,2985,96.0,59.0
455,Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,592267,43528,1596278,276846,3137,3160,3161,100,88081,2624,18733,270550,330084,257279,184298,115069,110391,1277039,710960,2058,87.0,58.0
456,Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,1063929,51555,2274674,350700,2201,402,172,47,75263,3385,33501,409875,463642,376472,227119,134445,116445,1738210,895178,2868,90.0,57.0
457,Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,761521,59942,2140745,314812,3370,1804,3395,61,196080,5834,31797,324525,416295,368905,277163,166249,108627,1673077,672115,2940,88.0,61.0
458,Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,890214,757901,1122947,569109,35400,1394025,215500,7366,9261,895,91,257586,53181,87188,201277,330623,283031,218587,194796,101645,1335017,342284,2578,85.0,68.0
459,Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,1520538,83672,3414427,1186776,19026,23001,3487,265,695130,78116,179552,534606,858286,797473,597661,475439,255949,3545813,885070,5946,88.0,67.0
460,Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,2197549,1204602,68254,3233790,368153,4181,810,3145,184,105767,5309,50180,566504,691057,563310,449909,334003,186306,2803884,1008996,4079,95.0,61.0
461,Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,1679994,1170552,65299,2739076,678615,4735,1893,649,57,104084,4313,31811,678171,425584,305644,192664,144067,118176,1873028,1620782,3614,92.0,49.0
462,Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,2700328,1351629,82965,4009037,403847,9662,2123,2848,207,296619,14597,65360,873031,618398,560246,425913,316166,273903,3103910,1453960,5455,95.0,61.0
463,Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,1318946,59649,3508131,556219,5822,5688,6671,98,95508,3845,32065,741817,906861,510507,247265,138583,103523,2657604,1481604,4209,87.0,54.0
464,Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,1075196,620764,26109,1509708,171581,1148,463,2875,145,104176,2217,18615,169207,327534,282919,167911,104699,106888,1169557,461666,1906,87.0,64.0
465,Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,2731677,1437375,88404,3981502,483750,4947,1286,7898,114,181467,8002,52398,665376,939616,769693,520111,353996,256398,3531099,1344789,5261,102.0,61.0
466,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,814914,48648,1823930,147842,7050,4951,1203,311,183340,8517,40774,184997,370685,341371,186348,99814,92586,1287584,483088,2651,89.0,65.0
467,Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,599089,31600,1075440,750368,5952,5295,189,21,89329,2825,18303,251669,352835,230640,161282,164763,69522,1233732,520215,2074,91.0,53.0
468,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,524676,51330,1375788,273967,1263,504,2033,65,61491,2488,18082,237853,283674,263749,175582,107628,95072,1170752,543034,1730,88.0,61.0
469,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,628864,20783,1612968,176327,1300,478,819,103,49753,2682,25354,235341,344866,341845,223529,157167,97740,1406418,475166,2056,86.0,65.0
470,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,639086,30491,1372381,220423,2225,522,687,3,43753,1503,15029,184229,253910,180825,146757,89011,45341,905188,670750,1645,91.0,51.0
471,Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,1116973,57049,2928462,620244,5006,767,4619,133,127331,3486,35931,836856,424892,367405,249265,170911,119625,2180924,1550315,3704,96.0,55.0
472,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,503351,14882,1163804,33724,1351,1034,69,41,77082,1079,9906,185575,202692,154118,61543,32237,34658,674358,509536,1287,91.0,52.0
473,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,1542806,99863,3537787,985070,20493,23883,3877,504,582769,68506,152257,489898,554301,552171,428121,378742,639260,3094625,1146880,7486,92.0,68.0
474,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,349676,13523,815142,57454,965,389,94,157,42936,1316,11298,119002,141201,131165,60400,33810,37165,526669,403649,904,88.0,56.0
475,Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,560840,24784,1746649,100723,1729,475,8814,38,79022,2642,24451,234774,353287,319158,230731,144516,111696,1406443,519493,1998,88.0,64.0
476,Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,840939,44453,2310776,216933,3179,2872,883,126,281239,8726,37596,303291,420976,344961,233264,155937,103102,1571793,691359,3025,86.0,59.0
477,Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,696747,118614,1769937,428555,2109,340,564,129,149908,2656,26716,344570,410737,320743,256784,209493,150462,1708560,659237,2693,98.0,62.0
478,Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,1090539,63096,2183255,1185643,10582,24912,1855,236,425624,23717,69473,412280,495861,469403,359944,254337,275076,2302997,990312,4953,89.0,62.0
479,Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,881996,80246,2292534,195765,2373,1133,341,27,145997,4447,24518,361642,421577,340261,232189,177109,140668,1691126,868542,2875,90.0,57.0
480,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,1417811,88733,2488265,2248392,13157,7555,1260,382,281758,11690,61846,635957,725118,492338,296210,186311,186489,2545795,2097292,5452,91.0,47.0
481,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,1291644,45952,2382914,1711453,6495,18601,1516,60,368153,10077,56149,826387,780470,531913,281747,148770,98691,2673586,1431537,4871,89.0,58.0
482,Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,618605,22782,1449007,489686,3510,84787,360,45,83006,2870,18097,294135,281158,240057,117838,77602,66129,1086632,977839,2125,89.0,52.0
483,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,401515,481294,5516,827293,25597,358,72,32,27,71612,716,5961,142397,111276,70969,35206,21854,19109,402948,488621,2829,98.0,46.0
484,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,1931559,1066601,68642,2731351,452394,3920,1451,7795,43,140538,5149,34400,427626,558350,456752,332742,238011,197846,2231374,1059636,3639,100.0,60.0
485,Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,1204710,60774,2975998,413243,3634,2424,722,602,247856,5184,34788,540661,538301,477689,270775,182823,153041,2178952,1286726,3812,94.0,58.0
486,Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,737261,54238,1073890,1181337,9201,65316,384,63,131112,3847,25960,278477,374898,171242,85117,51703,43839,1008445,1235413,2545,91.0,45.0
487,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,2077108,1037344,34032,1966892,1454052,6523,18627,1937,135,404499,9699,38816,474060,600668,431491,256510,163463,154153,2090428,1279517,4029,89.0,60.0
488,Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,539469,28884,1300586,404410,1766,447,4393,35,79525,2031,19729,341757,290532,205875,129442,86528,63506,1126522,683053,1850,97.0,56.0
489,Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,892214,31141,2412595,527581,4630,51090,2312,84,115163,3889,27533,451571,476064,315873,158430,96308,87355,1594486,1324615,3441,87.0,50.0
490,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,1422602,70971,3555450,893725,6579,11611,2663,79,102040,3874,34609,714304,656401,482220,221898,136383,127750,2347731,2141696,4535,89.0,51.0
491,Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,730399,29417,1738769,103567,3963,1649,1747,1907,95582,5149,25220,306218,297226,212565,120822,82614,63846,1092648,745126,2337,92.0,53.0
